15/12/2020 03:14:32|127.0.0.10|0|1|0|0
15/12/2020 03:14:32|127.0.0.10|1|1|0|0
15/12/2020 03:14:33|127.0.0.10|1|1|0|1
15/12/2020 03:14:33|127.0.0.10|2|1|0|1
15/12/2020 03:14:33|127.0.0.10|2|1|0|2
15/12/2020 03:14:34|127.0.0.10|3|1|0|2
15/12/2020 03:14:34|127.0.0.10|3|1|0|3
15/12/2020 03:14:34|127.0.0.10|3|1|1|3
15/12/2020 03:14:38|127.0.0.10|3|2|1|3
15/12/2020 03:14:38|127.0.0.10|3|2|2|3
15/12/2020 03:14:43|127.0.0.10|3|3|2|3
15/12/2020 03:14:43|127.0.0.10|4|3|2|3
15/12/2020 03:14:43|127.0.0.10|4|3|2|4
15/12/2020 03:14:44|127.0.0.10|5|3|2|4
15/12/2020 03:14:44|127.0.0.10|5|3|2|5
15/12/2020 03:14:45|127.0.0.10|6|3|2|5
15/12/2020 03:14:45|127.0.0.10|6|3|2|6
15/12/2020 03:14:45|127.0.0.10|6|3|3|6
